datetime,demand,gen_cost_marg,gen_cost_tot,co2_marg,co2_tot,so2_marg,so2_tot,nox_marg,nox_tot,biomass_mix,coal_mix,gas_mix,geothermal_mix,hydro_mix,nuclear_mix,oil_mix,marg_gen,coal_mix_marg,marg_gen_fuel_type,mmbtu_coal,mmbtu_gas,mmbtu_oil
2017-01-01 00:00:00,26494.0,24.59831769695282,582550.1912360156,374.70684814453125,22633672.370390344,0.0018934380495920777,25708.5113825425,0.018617264926433563,17459.974225960246,0,24318.971535095363,2175.028464904637,0,0,0,0,0,0.0,gas,232263.13211552147,13943.63890310578,0
2017-01-01 01:00:00,60838.0,28.32934510038465,1491467.3597708505,398.13299560546875,43287993.959646516,0.002010833937674761,39327.75147791632,0.0366906113922596,29127.125416268205,0,38202.19074381692,22635.80925618308,0,0,0,0,0,0.0,gas,372593.43739207817,154421.2692306029,0
2017-01-01 02:00:00,58658.0,28.12191968539583,1430045.050821541,784.3161010742188,41340576.19506322,0.38974156975746155,37344.36480339389,0.358737587928772,27216.603194742856,0,36402.024813002274,22255.97518699773,0,0,0,0,0,1.0,coal,353611.8609715842,151661.96002424872,0
2017-01-01 03:00:00,56814.0,27.86203187301309,1378324.4687948243,369.54931640625,40180227.611342646,0.0018675468163564801,36987.169284469055,0.0844280794262886,26807.154529342435,0,35340.19074381692,21473.80925618308,0,0,0,0,0,0.0,gas,344365.3409069402,146103.96712949124,0
2017-01-01 04:00:00,56118.0,27.853586318795685,1358936.2622514493,627.6881103515625,39807863.171618745,0.0333196222782135,36971.838408658936,0.6894508600234985,26478.486299655124,0,34894.08144832859,21223.918551671417,0,0,0,0,0,1.0,coal,339305.7926316711,144390.72100067744,0
2017-01-01 05:00:00,57007.0,27.865888673362143,1383702.5229600156,407.3642883300781,40258237.604770474,0.002058022655546665,36987.56340362234,0.030805261805653572,26813.966807630666,0,35340.19074381692,21666.80925618308,0,0,0,0,0,0.0,gas,344365.3409069402,147550.7537407979,0
2017-01-01 06:00:00,57905.0,28.12191968539583,1408869.245298438,784.3161010742188,40749986.17095433,0.38974156975746155,37050.88940136652,0.358737587928772,26946.47379103249,0,35649.024813002274,22255.97518699773,0,0,0,0,0,1.0,coal,347266.59851278295,151661.96002424872,0
2017-01-01 07:00:00,60035.0,28.159930557552297,1468789.9541592002,1106.2734375,42687515.63655584,3.0720767974853516,38275.42478356177,0.641600489616394,28851.72616985968,0,37779.024813002274,22255.97518699773,0,0,0,0,0,1.0,coal,367827.9858591463,151661.96002424872,0
2017-01-01 08:00:00,61422.0,28.51724389648437,1508069.0389645165,354.2046813964844,43506100.93861837,0.0017897234065458179,39328.85332973407,0.024344928562641144,29144.20971267677,0,38202.19074381692,23219.80925618308,0,0,0,0,0,0.0,gas,372593.43739207817,158466.56269767525,0
2017-01-01 09:00:00,62788.0,28.732125829673,1547169.69772959,906.9733276367188,44365752.341961406,0.5313714742660522,39691.325812870695,2.008917808532715,30526.58718526585,0,38882.024813002274,23905.97518699773,0,0,0,0,0,1.0,coal,379217.7564180304,162975.12221468604,0
2017-01-01 10:00:00,63217.0,28.83345477819443,1559512.6164760962,360.5700378417969,44649224.83414019,0.0018220000201836228,39818.22133530246,0.027058398351073265,31014.018218847054,0,39120.19074381692,24096.80925618308,0,0,0,0,0,0.0,gas,381538.4508026464,164226.68471484573,0
2017-01-01 11:00:00,63113.0,28.807518517017368,1556514.1852780627,346.6000671386719,44611859.182971634,0.0017518855165690184,39818.032517995765,0.06659779697656631,31010.825922775424,0,39120.19074381692,23992.80925618308,0,0,0,0,0,0.0,gas,381538.4508026464,163533.3908999852,0
2017-01-01 12:00:00,63244.0,28.83345477819443,1560291.1197551074,360.5700378417969,44658960.22516192,0.0018220000201836228,39818.27052930301,0.027058398351073265,31014.748795602532,0,39120.19074381692,24123.80925618308,0,0,0,0,0,0.0,gas,381538.4508026464,164407.3230333844,0
